Lisa Conn 8D V3 2010.02.27 12:10 ,,
Freq,Impedancedata,Phase
0,1.00E-18,0
0.5,1.00E-18,-25.63753388
1,1.00E-18,1.525032573
1.5,1.00E-18,-6.546380781
2,1.00E-18,3.059424595
2.5,1.00E-18,-1.51422426
3,1.00E-18,4.612884262
3.5,1.00E-18,1.530408726
4,1.00E-18,6.195850307
4.5,1.00E-18,3.938046056
5,1.00E-18,7.819945912
5.5,1.00E-18,6.085816998
6,1.00E-18,9.498557599
6.5,1.00E-18,8.127820813
7,1.00E-18,11.24761806
7.5,1.00E-18,10.14589459
8,1.00E-18,13.08671965
8.5,1.00E-18,12.19488532
9,1.00E-18,15.04077406
9.5,1.00E-18,14.32065269
10,1.00E-18,17.14260638
10.5,1.00E-18,16.56979202
11,1.00E-18,19.43722697
11.5,1.00E-18,18.99753633
12,1.00E-18,21.98931138
12.5,1.00E-18,21.67754461
13,1.00E-18,24.89733432
13.5,1.00E-18,24.71819716
14,1.00E-18,28.32307177
14.5,1.00E-18,28.29543549
15,1.00E-18,32.56229191
15.5,1.00E-18,32.73124114
16,1.00E-18,38.25331004
16.5,1.00E-18,38.72733668
17,1.00E-18,47.26136077
17.5,1.00E-18,48.37193553
18,1.00E-18,72.12605726
18.5,0.003664126,76.13572993
19,2.381371737,54.5160508
19.5,4.817804337,50.89877394
20,19.30186462,43.56513327
20.5,20.04196548,40.96970252
21,20.75793839,36.895033
21.5,21.18580055,35.42168581
22,21.51923561,32.65726656
22.5,21.54320717,31.55117837
23,21.44663811,29.49481828
23.5,21.15775871,28.60655262
24,20.70298767,26.9795606
24.5,20.10462761,26.34880229
25,27.04446602,24.96966797
25.5,23.58747292,23.95787621
26,20.33044052,22.84059529
26.5,16.14006615,22.13179527
27,14.1049366,21.36428672
27.5,13.71275806,20.75532734
28,11.4269743,19.89992343
28.5,8.611720085,19.49185185
29,8.748906136,19.00530114
29.5,8.22869873,18.43305229
30,6.773434162,17.86201814
30.5,5.468894482,17.54065731
31,5.569851398,17.18957036
31.5,5.061224937,16.69389887
32,4.297291279,16.33342029
32.5,3.752301216,15.98504202
33,3.290049076,15.70593439
33.5,2.903934479,15.40491198
34,2.578102827,15.18600958
34.5,2.314405441,14.92778544
35,2.094298363,14.75516281
35.5,1.912886024,14.52450192
36,1.747799039,14.38601504
36.5,1.609642267,14.1861661
37,1.489182353,14.08659001
37.5,1.392216444,13.91887215
